,Avg Stars,Route,Route Type,Rating,Pitches,Length,Boulder Face,Boulder,Bouldering Sub-Area,Bouldering Area,Park Region,Park,State,Area Latitude,Area Longitude
440,2.0,Chocolate Roof Right,Boulder,V3,1,20.0,,Powers Boulder,,Ryan Campground Bouldering,,Joshua Tree National Park,California,34.06041,-116.22496000000001
441,1.5,Pillbox,Boulder,V-easy,1,14.0,,Orange Julius Boulder,HVCG East,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,33.98928,-116.16353000000001
442,2.0,The Undertaker,Boulder,V0+,1,15.0,,Chunky Boulder,Chunky Boulder and Trance Stone,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.02362,-116.17698
443,2.0,Purple Helmet,Boulder,V1,1,22.0,,Xenolithic Boulder,,Loveland Bouldering,,Joshua Tree National Park,California,33.954,-116.087
444,2.0,Renegade,Boulder,V0,1,20.0,,Campfire Circle Boulder,HVCG South,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,33.98595,-116.15924
445,1.4,The Clutch,Boulder,V0-,1,15.0,,Campfire Crag Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,34.020509999999994,-116.16503999999999
446,1.9,Corned Beef Hash,Boulder,V-easy,1,13.0,,Big Dike Boulders,Echo Rock Boulders,Echo Rock Bouldering,,Joshua Tree National Park,California,34.0283,-116.18198999999998
447,1.5,Unnamed .7,Boulder,V-easy,1,10.0,,Fidelman Boulder,,Ryan Campground Bouldering,,Joshua Tree National Park,California,34.02492,-116.15901000000001
448,1.9,Unnamed Problem,Boulder,V3,1,12.0,,Pixie Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,34.01468,-116.1658
449,1.7,Sacred Land,Boulder,V0,1,9.0,,The Broken Boulder,AFPA Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,33.983309999999996,-116.15085
450,1.6,Pothole Mantel  2,Boulder,V-easy,1,12.0,,Jump Chump Clump,Turtle Rock Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.016259999999996,-116.16212
451,1.6,Little Big Horn,Boulder,V0-,1,10.0,,The Pig Sty,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.013690000000004,-116.15482
452,1.7,West Face - Right,Boulder,V-easy,1,11.0,,Pork Chop,Lonely Stones 1,Quail Springs Bouldering,,Joshua Tree National Park,California,34.020509999999994,-116.16503999999999
453,1.7,Nebula,Boulder,V-easy,1,15.0,,Anvil Boulder,Varnished Wall Boulders,Indian Cove CG,Indian Cove Bouldering,Joshua Tree National Park,California,34.01197,-116.15127
454,1.6,Ten Gallon,Boulder,V0,1,10.0,,Forgotten Boulders,Trashcan Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,33.98928,-116.16353000000001
455,2.0,Powerslave,Boulder,V5,1,12.0,,Little Biglip,Bighorn Pass Boulders,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,33.98405,-116.15198999999998
456,2.0,Lemon,Boulder,V3,1,21.0,,Papa Boulder,Hemingway Boulders,Lost Horse Bouldering,,Joshua Tree National Park,California,34.018640000000005,-116.16128
457,2.0,Weasel World (Left),Boulder,V3,1,13.0,,Campfire Crag Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,34.01842,-116.16883999999999
458,2.0,Xenocryst,Boulder,V1,1,20.0,,Chocolate Chip,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.017070000000004,-116.04227
459,1.8,Weenie Arete,Boulder,V0+,1,12.0,,Equine Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.016999999999996,-116.16083
460,1.8,South Face Right,Boulder,V-easy,1,12.0,,Dream Sequence Boulder,Lonely Stones 1,Quail Springs Bouldering,,Joshua Tree National Park,California,34.09495,-116.15858999999999
462,1.9,Big Dike,Boulder,V-easy,1,18.0,,Sidekick Boulder,Big Brother Boulders,Hall of Horrors Area,Hall of Horrors Bouldering,Joshua Tree National Park,California,34.02579,-116.15718999999999
463,1.9,Figure Five,Boulder,V2,1,15.0,,The Hatrack,,Cap Rock Bouldering,,Joshua Tree National Park,California,33.984159999999996,-116.1526
464,2.0,Harzie,Boulder,V3,1,10.0,,The Pig Sty,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.094409999999996,-116.15612
465,1.9,Elbow Grease,Boulder,V1,1,15.0,,Voices Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.04009,-116.19386999999999
466,1.9,Yawning Flare,Boulder,V2,1,20.0,,Garden Angel Boulder,Hall of Horrors Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.00967,-116.16845
467,2.0,Unnamed,Boulder,V2,1,8.0,,Family Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.01398,-116.15438999999999
468,1.7,Pork Chop,Boulder,V0,1,10.0,Manx Boulders - Southeast Face,Manx Boulders,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.09019,-116.25613
469,2.0,Winged Assassins,Boulder,V1 PG13,1,15.0,,The Rabbit Warren,,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.094390000000004,-116.15423
470,2.0,Simpson Slap,Boulder,V3,1,15.0,,Cap Rock,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.04068,-116.19807
471,2.0,Little Biglip,Boulder,V3,1,8.0,,Indian Cave Boulder,Indian Wave Boulders,Barker Dam Bouldering,,Joshua Tree National Park,California,34.0287,-116.12203999999998
